Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7as4NVzt1UdMfoxEiDHkqX,"Stamcafé","Stamcafé","Zanger Alex",2021-07-30,172205,25,false,dylan_sjo,2021-09-15T17:55:00Z,"hollands","Berk Music",0.597,0.889,8,-4.041,0,0.0646,0.164,0,0.082,0.403,130.909,4
spotify:track:1ZLHLkM5kGgrhvXGibOxrB,"Dan Gaan De Lichten Aan","Dan Gaan De Lichten Aan","Jan van Est",2021-07-30,204525,23,false,dylan_sjo,2021-09-15T17:55:07Z,"hollands","Berk Music",0.741,0.784,1,-9.04,1,0.0501,0.049,0,0.274,0.851,127.952,4
spotify:track:5HB7ckZEkDv8DOhWNnkfwx,"In De Nacht","In De Nacht","John West",2021-10-29,195546,33,false,dylan_sjo,2021-11-03T10:02:34Z,"hollands","Cornelis Music",0.648,0.969,10,-0.737,0,0.0377,0.208,0,0.391,0.777,125.003,4
spotify:track:7laXSF2GfAIeI0PTJpOUtg,"Nog Eentje Dan","Nog Eentje Dan","Frans Duijts",2021-10-29,159733,3,false,dylan_sjo,2021-11-03T10:10:05Z,"hollands,nederpop","Dino Music",0.597,0.785,9,-5.879,0,0.0428,0.202,0,0.267,0.502,124.042,4
spotify:track:6P40cJzqPJAn9KB9716rHR,"Los Met Z'n Allen","Los Met Z'n Allen","Gerard Joling",2021-10-01,180878,0,false,dylan_sjo,2021-11-04T17:21:38Z,"hollands,nederpop","ENL Records",0.638,0.928,9,-2.229,0,0.0382,0.173,0,0.86,0.654,122.915,4
spotify:track:7K26jwuBYEodBYQCg4OymD,"Ons Moeder Zeej Nog","Ons Moeder Zeej Nog","Jan Biggel",2020-10-20,222483,51,false,dylan_sjo,2021-11-09T21:35:03Z,"hollands","Berk Music",0.838,0.91,1,-4.414,1,0.0436,0.105,0,0.0478,0.962,120.056,4
spotify:track:0rEuuYpZ2yWU6ppTJpe9wT,"Ik Ben Kachel","Ik Ben Kachel","OBZ",2020-12-19,207999,52,false,dylan_sjo,2021-12-02T16:40:55Z,"hollands","DLN",0.894,0.752,11,-8.174,0,0.0593,0.0815,0.000735,0.405,0.947,105.009,4
spotify:track:61OVTGpx4HEo7oTGLKiAhc,"Pretty Belinda","Pretty Belinda","Rocky Vosse",2009-01-22,179146,0,false,dylan_sjo,2021-12-16T11:53:53Z,"hollands","Berk Music",0.729,0.872,0,-6.132,1,0.165,0.0177,0,0.329,0.908,135.032,4
spotify:track:3hOMrkxVzVAEl2TDjWSlmJ,"Wat Fijn Dat Je Vreemd Bent Gegaan","Wat Fijn Dat Je Vreemd Bent Gegaan","Stef Ekkel",2022-01-07,168133,26,false,dylan_sjo,2022-01-07T17:55:46Z,"hollands","Berk Music",0.612,0.827,5,-4.633,1,0.128,0.138,0,0.359,0.877,127.477,4
spotify:track:3HUewJHeKBxECDbb2QMwJJ,"Helemaal Lijp Met M'n Shisha Pijp","Helemaal Lijp Met M'n Shisha Pijp","Sidney Jr;Sidney Bischoff",2021-12-29,165196,28,false,dylan_sjo,2022-01-21T10:20:43Z,"hollands","A.S. Bischoff",0.763,0.888,0,-4.283,1,0.0432,0.156,0,0.328,0.949,107.967,4
spotify:track:5xSQZPqLd40jLS383GYTvP,"Porseleinen Pony","Porseleinen Pony","Johnny Purple",2017-02-07,221012,45,false,dylan_sjo,2022-02-22T06:28:00Z,"","Johnny Purple",0.83,0.908,6,-4.842,1,0.0583,0.31,0,0.381,0.976,131.984,4
