Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:67LwOmbVW0jQpG9G6nnCYz,"Come Take My Hand - Extended Version","2","2 Brothers On The 4th Floor",1996,314066,48,false,qmusicnl,2025-06-22T19:41:17Z,"happy hardcore,eurodance,gabber","CNR Entertainment BV",0.553,0.818,7,-8.132,1,0.0525,0.00439,0.463,0.24,0.18,167.993,4
spotify:track:0s4P5d6JVFArEIe6A1yWxa,"Nog 3... 2... 1...","De Leukste Liedjes Van Telekids","Carlo & Irene;Carlo Boszhard;Irene Moors",1997,177466,35,false,qmusicnl,2025-06-22T19:41:17Z,"","CNR Music",0.601,0.896,10,-8.249,1,0.295,0.396,0,0.132,0.382,148.034,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,88,false,qmusicnl,2025-06-22T19:41:17Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:61Z2WDyoG7Ya5bFTJZPqzV,"Shirt Uit & Zwaaien","Oktoberfest Vol. 4 (2018)","Feestteam;DJ Maurice",2018-09-21,160781,0,false,qmusicnl,2025-06-22T19:41:17Z,"hollands","Berk Music",0.703,0.966,2,-3.25,0,0.151,0.0907,0,0.0476,0.77,136.002,4
spotify:track:3FteycP8CaXS1MhjcXekVT,"Stop","Spiceworld","Spice Girls",1997-01-01,204753,68,false,qmusicnl,2025-06-22T19:41:17Z,"","Virgin Records",0.723,0.845,2,-4.446,0,0.0308,0.289,0,0.0561,0.965,130.13,4
spotify:track:483GOX8UcUDXdQiKGFN3JN,"Weekend!","The Stadium Techno Experience","Scooter",2003-03-31,212466,1,false,qmusicnl,2025-06-22T19:41:17Z,"happy hardcore,eurodance","Sheffield Tunes",0.497,0.977,5,-5.495,0,0.0551,0.000949,0.11,0.722,0.49,143.033,4
spotify:track:44vgHjyTTFdOe0F01MhPir,"Sparen Voor De Nacht","Sparen Voor De Nacht","Guus Meeuwis;MAKSIM",2025-05-28,154627,51,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","Universal Music S.A.",0.451,0.639,9,-9.055,0,0.121,0.465,0,0.255,0.665,112.338,4
spotify:track:3UL6Lzsocv9Ucizgzid2B0,"We like to Party! (The Vengabus)","Greatest Hits!","Vengaboys",2009-12-11,222458,1,false,qmusicnl,2025-06-22T19:41:17Z,"eurodance,europop","Breakin' Records/Violent Music BV",0.785,0.931,8,-4.813,1,0.0465,0.0152,0.641,0.046,0.969,135.993,4
spotify:track:45I37gu7jG5JsXyqYm4YDT,"Ik Leef Niet Meer Voor Jou","Als Geen Ander","Marco Borsato",1995-01-01,216640,58,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.546,0.815,4,-8.746,0,0.0466,0.0153,0.0000633,0.0417,0.574,149.962,4
spotify:track:0ikz6tENMONtK6qGkOrU3c,"Wake Me Up Before You Go-Go","Make It Big","Wham!",1984-10-23,231333,80,false,qmusicnl,2025-06-22T19:41:17Z,"kerst","Columbia",0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4
spotify:track:4lBkLeU6LNgWzfbWPGm1c9,"Leef","Leef","André Hazes Jr.",2016-03-11,217902,25,false,qmusicnl,2025-06-22T19:41:17Z,"hollands,nederpop","Dino Music, a label and trademark of 8ball Music BV",0.673,0.727,9,-6.587,0,0.0401,0.282,0,0.178,0.782,121.016,4
